Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
aremac	respectable			
aremacas	respectability			
aremwar	respectful			
aremwaras	respectfulness			
aremi	to respect	verb		
aremiat	respecter			
diarem	disrespect			
diaremac	disrespectable			
diaremacas	disrespectability			
diaremwar	disrespectful			
diaremwaras	disrespectfulness			
diaremi	to disrespect	verb		
diaremiat	disrespecter			
apisu	idea		derivation / compound	apis + -u, “see-thing”
apisunac	ideal	adjective		adjective
menupen	ideal	noun	derivation / compound	noun; menu + pen, “thought-head”
menupenaun	idealist			
menupenac	idealistic			
menupenait	idealism			
gwescara	to deserve	verb		
gwescaran	merit			
penanda	to bow	verb	derivation / compound	pen + anda, “head-lower”
penandan	bow			bow down
penandaiat	bower			one who bows down
anwin	unkind		derivation / compound	an + min, “un-gentle”
anwinas	unkindness			
answad	bitter		derivation / compound	an + swad, “un-sweet”
answadas	bitterness			
antau	loud		derivation / compound	an + tau, “un-quiet”
gwaiac	curvy			
matircot	grandmother		derivation / compound	matir + cot, “mother-ancient”
matircara	great-grandmother		derivation / compound	matir + cara, “mother-dear”, cf. Br. kunv, W. cu, id.
atercot	grandfather			
atercaron	great grandfather			
cinatercaron	great-great-grandfather			“before-great-grandfather”
cincinatercaron	great-great-great-grandfather			“before-before-great-grandfather” > etc.
cinwatircara	great-great-grandmother			“before-great-grandmother”
cincinwatircara	great-great-great-grandmother			“before-before-great-grandfather” > etc.
diagwediat	gentile			non-worshipper
dicredan	unbelief			
dicredi	to not-believe	verb	derivation / compound	di + credi, “not-believe”
dicrediat	unbeliever			
didewait	atheism		derivation / compound	di + dew + -ait, “not-god-condition”
didewac	atheistic			
didewaun	atheist			
ancredac	incredulous			
ancredi	to disbelief	verb		
ancrediat	unbeliever			
on a cel	each other			"one to a companion", cf.Br. an eil d'egil; W. ei gilydd; Ir. a cheile, id.
on a al	each other			“one to another”
cansai	to conquer	verb	derivation / compound	can + sai, “with-seek”
cansatol	conquest			
cansaiat	conqueror			
auderci	to despise	verb	derivation / compound	au + derci, “away-from-look”
auderciat	despiser			
audercan	despisal			
audercid	despiccable			
dulimwi	to poison	verb		
dulimwiat	poisoner			
dulimu	poison			
gigur	goose			Gigurri, “geese”, Asturian people, Pliny NH, III, 28
andersugarac	derisive		derivation / compound	ander + sugar, "down-laugh"
andersugar	to deride	verb		
andersugariat	derider			
andersugaru	derision			
cunac	cynical		derivation / compound	cun + -ac, “dog-like”, cf. Gr. kyniko- < kyn-iko-, id.
cunacas	cynicism			
cunacaun	cynic	noun		noun
anster	loose			
ansteri	to loosen	verb		
ansteriat	loosener			
ansteran	loosening	noun		noun
ansal	clean		derivation / compound	an + sal, “un-dirty”
ansali	to clean	verb		
ansaliat	cleaner			
ansalan	cleaning			
cancerdi	collaborate			
cancerdan	collaboration			
cancerdiat	collaborater			
aiudelgac	everlasting		derivation / compound	aiu + delg- + -ac, “age-holding-like”)
anwarwiac	immortal		derivation / compound	an + marwi + -ac
anwarwiacas	immortality			
marwiac	mortal		derivation / compound	marwi + -ac
marwiacas	mortality			
surodi	to reward	verb	derivation / compound	su + rodi, “good-give”
surodan	award			
surodiat	rewarder			
esbarna	to award	verb	derivation / compound	es + barna, “from-judging”
esbarnaiat	awarder			
esbarnu	award			
cleteni	to shoot	verb	derivation / compound	cle + teni, “push-fire”
cleteniat	shooter			
cleten	shoot	noun		noun
rin	to sell	verb		< rino-ti, “you sell”; Reze, Lambert & Stifter 2012; cf. Ir. renaid “sells”
riniat	seller			
rinan	sale			
acugavi	to catch	verb	derivation / compound	acu + gavi, “quick-take”
acugaviat	catcher			
acugavan	catch	noun		noun
teistantu	station		derivation / compound	tei + stantu, “house-standing”
teistantu riolten	train station			
teistantu riol	bus station			
teistantu camanisaran	railway station			
tigeren teistantu riolten	train station master			
tigeren teistantu	station master			
teistanti	to station	verb		
teistantiat	stationer			
teistantan	stationing	noun		noun
teiprinu	shop		derivation / compound	tei + prinu, “house-purchase”
teiprinwi	to shop	verb		
teiprinwiat	shopper			
teiprinwian	shopping	noun		noun
teiprinwisaiat	shopaholic			
teivracan	brewery			brew-house
teivoitol	brothel		derivation / compound	tei + boitol, “house-hit/knock”, cf. knockshop, id.
teimotan	brothel		derivation / compound	tei + motan, “house-fucking”
teimescan	pub		derivation / compound	tei + mescan, “house-intoxication”
delgari	to school	verb		
delgariat	schooler			
delgaran	schooling	noun		noun
tei ivan	pub			“house-drink”
tenstatu	glee		derivation / compound	ten + statu, "fire-stood", cf. Br. tantad, tantez; W. tandod < *teno-taato-, id.
tenstatumar	gleeful			
gwerwolatwar	joyful			
romedi	marvel		derivation / compound	ro + medi, "beyond-middle/centre", W. rhyfedd, OW. rimed < *ro-med-
romediac	marvelous			
romediacas	marvelousness			
romeda	to marvel	verb		
romedaiat	marveler			
romedat	marveling	noun		noun
copeta	to invite	verb	derivation / compound	co + peta, "ask-along", cf. Br. pedin
copetan	invitation			
copetaiat	inviter			
bratumar	grateful		derivation / compound	bratu + mar, “thanks-big”, cf. W. diolchgar
bratumaras	gratefulness			
sugwici	to earn	verb	derivation / compound	su + gwici, "good-win", cf. W. ennill "to earn" & "to win"
sugwichiat	earner			
sugwican	income			earning
comaras	volume		derivation / compound	co + maras, “with-bigness/size”, cf. W. cyfaint cy + maint, "with-size"
comarasac	voluminous			
agedbroi	scene		derivation / compound	aged + broi, "face-land", cf. Br. dremmvro, id.
agedbroiac	scenic			
agedbroiu	scenery			
urbatu	hypocrisy		derivation / compound	ur + batu, "against-appearance", cf. Wn. rhagrith, id.
urbatuc	hypocritical			
urbataun	hypocrit		derivation / compound	urbatu + -aun, loss of –u- before –aun
atavan	practise			
atavo	to practice	verb	derivation / compound	at(e) + avo, "again-do"
ataviat	practitioner			
atavac	practical			
atavacas	practicality			
gworbor	to exercise	verb	derivation / compound	gwor + bor, "produce-agitating"
gworboru	exercise			
gworboriat	exerciser			
sucamani	to train	verb	derivation / compound	su + camani, "good-roading", cf. W. hyfforddi "good road"
sucaman	training			
sucamaniat	trainer			
gwercal	string		derivation / compound	gwerc + al, “rope-small”
gwercali	to string	verb		
gwercaliat	stringer			
gwercu	line			gwerc, "hemp", cf. L. linae "flax" > E. Fr. "line"
gwerci	to draw a line	verb		
gwerciat	line drawer			
gwergwead	thread		derivation / compound	gwerc + gwead, "hemp-spindle", -cg- > -g-
gwergweadi	to thread	verb		
gwergweadiat	threader			
divlasi	to bore	verb		
divlas	boring		derivation / compound	di + blas, "off-taste"
esblas	bland		derivation / compound	es + blas, “without-taste”
esblasas	blandness			
resu	row			res "competition" > row of competitors, e.g. at starting line for race
coresu	list		derivation / compound	co + res, “with-row(s)”
coreswi	to list	verb		
coreswiat	lister			
coreswian	listing	noun		noun
licresu	catalogue		derivation / compound	lich + resu, "slab-row", cf. W. llechres "slab + row/line"
licreswi	to catalogue	verb		
licreswiat	cataloguer			
cletwen	roster		derivation / compound	clet + men, "frame-think"
cletweni	to roster	verb		
cletweniat	rosterer			
gnitwen	schedule		derivation / compound	gnit + men, "order-think"
gnitweni	to schedule	verb		
gwisusaitol	philosophy			
ardusam	highest			
ardwen	high country			< arduenna [silva], “high country [forest]”
barbarat	barbarian			
Elada	Greece			
Eladac	Greek			
gwisusaiat	philosophers			
Celt	Celtic person			
-am	superlative ending for words ending on consonant	affix		
-sam	superlative ending for words ending on vowel	affix		
bateni	to impale	verb	derivation / compound	bat + en, “stick-in”
bateniat	impaler			
batenan	impalement			
rencro	bloodflow		derivation / compound	ren + cro, “flow-blood”
rencroitol	haemorrhoid	noun	derivation / compound	ren + croitol, “flow-bleeding”, cf. Gr. haemorrhoid < haima + rhoos < rhein “to flow”, “blood-flow-noun”
iacugwid	doctor		derivation / compound	iacu + gwid, “remedy-ologist”
iacugwidait	medicine		derivation / compound	iacu + gwidait, “remedy-ology”
bragu	braying	noun		noun; e.g. of donkey; < L. bragire < Gaul. bragu, French Words of Gaulish Origin [wikipedia]
bragwi	to bray	verb		
bragwiat	brayer			
braga	to show off	verb		< OFr. brave < Occ. brau < Gaul. bragos, French Words of Gaulish Origin [wikipedia]; cf. E. to brag, id.
bragaiat	show-off			
bragat	showing-off	noun		noun
braga	to brag	verb		
bragaiat	bragger			
bragat	bragging	noun		noun
capu	tent			< OFr. chavanne, Prov. cabana < Gaul. capanna “hut” < Gaul. cappos “tent”, French Words of Gaulish Origin [wikipedia]
capan	cabin			< OFr. chavanne, Prov. cabana < Gaul. capanna “hut” < Gaul. cappos “tent”, French Words of Gaulish Origin [wikipedia]
cal	pebble			< Fr. calliou < Gaul. cali “pebble”, French Words of Gaulish Origin [wikipedia]
cul	screen			< Fr. coule “cowl” < Gaul. cullo “covering, shelter”; cf. cucul “hood”; French Words of Gaulish Origin [wikipedia]
culi	to screen	verb		
culiat	screener			
culpen	veil		derivation / compound	cul + pen, “screen-head”
culwon	scarf		derivation / compound	cul + mon, “screen-neck”
culgul	shawl		derivation / compound	cul + gul, “screen-shoulder”
cragu	hoarse		derivation / compound	< Fr. cravan “brant goose” < dial. Fr. cravant “wild goose” < *crag- + -ant < Gaul. crago “hoarse”, cf. W. cryg, C. kreg, id; French Words of Gaulish Origin [wikipedia]
cragan	wild goose		derivation / compound	crag- + -ant “croaker” < Gaul. cragu “hoarse”, French Words of Gaulish Origin [wikipedia]
cragal	duck		derivation / compound	< crag- + -al, “croak-small”
craga	to croak	verb		
cragaiat	croaker			
cragat	croak	noun		noun
dolv	chisel			< Fr. douve “liver fluke” [parasitic worm] < Gaul. dolba “worm, grub”< Gaul. dolbu “chisel, carve”, French Words of Gaulish Origin [wikipedia]
dulv	worm			< Fr. douve “liver fluke” [parasitic worm] < Gaul. dolba “worm, grub”< Gaul. dolbu “chisel, carve”, French Words of Gaulish Origin [wikipedia]
dulval	grub		derivation / compound	dulv + -al, “worm-small”
dulvucos	caterpillar		derivation / compound	dulv + cos [with epenthetic /u/], “worm-leg”
dolvi	to chisel	verb		
dolviat	chiseler			
dolvan	chiseling	noun		noun
dulvi	to worm	verb		to crawl or squeeze into narrow, tight spaces in an undignified manner
dulvi	to worm	verb		to collect worms e.g. for fishing bait
dulviat	wormer			
dulvan	worming	noun		noun
didulvi	to de-worm	verb		of a human or an animal; medical treatment
didulviat	de-wormer			
didulvan	de-worming	noun		noun
drasc	dregs			brewing dregs < Fr. drèche < OFr. drasche < Gaul. drasca “barley dregs, grape skins”, cf. Gael. treasg, E. dregs, id.; MIr. tresc “refuse, offal”; French Words of Gaulish Origin [wikipedia]
drul	rag			< Fr. drille “rag” < OFr. drille “scrap of fabric” < Gaul. drullo “piece, shred”; cf. W. dryll, MBr. druil, C. dral, id.; French Words of Gaulish Origin [wikipedia]
drulal	scrap of fabric		derivation / compound	drul + -al, “small rag”
druli	to shred	verb		pieces of fabric
druliat	shredder			
drulan	shredding	noun		noun
stan	tin			< Fr. étain < Gaul. stannon, French Words of Gaulish Origin [wikipedia]
frigon	butcher’s broom			Ruscus aculeatus; medicinal plant with anti-inflammatory properties; < Gaul. sprigo-; French Words of Gaulish Origin [wikipedia]
frigu	twig			
friga	to offshoot	verb		to grow our of something else
frigan	offshoot			a secondary growth, e.g. of a plant
frigan	tendril			
frigaiat	offshooter			
frigwi	to grow out	verb		
frigwian	outgrowth			
frigwiat	outgrower			
pinc	finch			< Fr. pinson < Gaul. pincio-, cf. W. pinc, Br. pint; French Words of Gaulish Origin [wikipedia]
misu	moon			< mis, “month”
misunac	lunar			
misuni	to lunate	verb		
misunan	lunation			
misuniat	lunator			
coric	present		derivation / compound	= not absent; co + ric “with-furrow” i.e. “in place”, cf. W. cydrychol, id.
coricas	presence			
atencicid	reincarnative		derivation / compound	ate + en + cic + -id, “again-flesh-like”
atencici	to reincarnate	verb		
atenciciat	reincarnater			
atencican	reincarnation			
encici	to incarnate	verb		
enciciat	incarnater			
encican	incarnation			
gnitweniat	scheduler			
gnisaiac	curious		derivation / compound	gni + sai, "know-seek"
gnisaiacas	curiosity			
gnisai	to study	verb		
gnisaitol	study			n
gnisaiat	student			
pensioitan	bill			
pensioiti	to bill	verb	derivation / compound	pen + sioiti, “head/top-adding”
pensioitiat	biller			
barnureit	sentence		derivation / compound	barnu + reit, “law-judgement”
barnureiti	to sentence	verb		
barnureitiat	sentencer			
cocori	to confederate	verb	derivation / compound	co + cor
cocorac	confederate 	adjective		
cocoran	confederation			
ladani	to deafen	verb		
ladaniat	deafener			
ladanan	noise			
ladanac	loud			
ladanas	loudness			
bodari	to bother	verb		Gaul. bodar- "deaf" =Irish bodhraim > to annoy > loanword into English
bodariat	botherer			
bodaran	bother			
bodarac	bothersome			
rincitu	necessary			"needed", attested rincituso, DLG p. 258
anrincitu	unnecessary			
comenu	concept		derivation / compound	co + menu, “with-thought”; cf. W. cysyniad, id.
duvasci	to hamper	verb		
duvasciat	hamperer			
duvascan	obstacle			
ovonrodi	to frighten	verb	derivation / compound	ovon + rodi, “fear-give”
ovonrodiat	frightener			scarer
ovonrodan	fright			
bis conovon can	to be afraid of	verb		
bodig	self-interest		derivation / compound	bod + ig, “advantage-self”
igait	egoism			
igait	egotism			
igac	egoistic			
igac	egotistic			
cridwigait	self-centeredness			
cridwig	self-centred		derivation / compound	cridu + ig, “centre-own/self”
igwar	selfish		derivation / compound	ig + mar, “own-full/big”
igwaras	selfishness			
esioitac	countless		derivation / compound	es + sioit- + -ac, “without-count-like”
rimwar	numerous		derivation / compound	rim + maw, “number-full/big”
gwiruni	to check	verb		
gwiruniat	checker			
gwirunan	check			n
latan	band			flat strip of cloth, of land, etc.
latavo	to flatten	verb		
lataviat	flattener			
latavan	flattening			
esda	bizarre		derivation / compound	es + da, ", out of/ from two [duality]; cf. Ir. aisdeach, id.
tutwar	bizarre		derivation / compound	tut + mar, “left-full/big”; cf. W. chwithig "left-like"
tutwaras	bizarreness			
dugalv	gross		derivation / compound	du + galv, “bad-fat”
dugalvas	grossness			
gwergavi	to surprise	verb	derivation / compound	gwer + gavi, “on-take”, cf. E./Fr. surprise, id.
